Date,tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2018-05-04,43.1,58.0,72.9,0.15,11.70
2018-05-05,48.2,56.8,65.5,0.71,9.00
2018-05-06,47.8,60.2,72.7,0.42,14.22
2018-05-07,48.6,57.1,65.6,0.53,7.28
2018-05-08,45.4,58.5,71.5,0.22,10.47
2018-05-09,46.5,60.1,73.7,0.22,13.33
2018-05-10,49.3,58.6,67.9,0.42,11.29
2018-05-11,44.6,54.5,64.4,0.52,10.01
2018-05-12,44.5,55.5,66.4,0.45,9.62
2018-05-13,46.0,62.1,78.1,0.28,20.78
2018-05-14,46.6,66.2,85.8,0.29,27.38
2018-05-15,47.2,65.2,83.2,0.26,21.50
2018-05-16,48.8,59.9,71.0,0.44,9.75
2018-05-17,50.7,58.4,66.1,1.15,8.44
2018-05-18,46.1,57.4,68.8,0.68,10.02
2018-05-19,49.3,59.3,69.4,0.85,11.32
2018-05-20,47.7,58.7,69.6,0.95,11.37
2018-05-21,43.0,56.5,70.0,0.47,13.16
2018-05-22,44.8,59.3,73.8,0.42,17.84
2018-05-23,47.9,65.7,83.5,0.56,23.43
2018-05-24,51.8,63.3,74.8,0.72,12.63
2018-05-25,54.1,63.7,73.4,1.53,12.38
2018-05-26,42.7,55.3,67.9,0.44,10.62
2018-05-27,43.2,54.8,66.3,0.32,10.74
2018-05-28,44.5,61.4,78.3,0.50,19.80
2018-05-29,46.9,60.8,74.8,0.78,16.20
2018-05-30,40.0,53.4,66.8,0.60,13.32
2018-05-31,42.8,55.0,67.1,0.97,14.09
2018-06-01,40.0,52.0,63.9,0.27,10.61
2018-06-02,39.6,55.9,72.2,0.25,17.30
2018-06-03,43.9,62.5,81.1,0.65,23.88
2018-06-04,48.8,60.5,72.1,0.86,16.05
2018-06-05,42.4,55.7,68.9,0.55,14.62
2018-06-06,41.5,57.1,72.7,0.41,17.20
2018-06-07,44.2,60.3,76.5,0.51,18.67
2018-06-08,50.7,61.0,71.3,1.45,14.32
2018-06-09,49.8,59.0,68.1,0.43,11.79
2018-06-10,47.6,54.5,61.4,0.37,7.53
2018-06-11,47.8,52.9,58.1,0.44,5.48
2018-06-12,46.0,58.2,70.4,0.59,15.29
2018-06-13,44.1,62.4,80.7,0.66,25.08
2018-06-14,50.8,58.7,66.6,1.02,10.62
2018-06-15,48.2,57.8,67.4,0.72,12.93
2018-06-16,51.3,60.7,70.2,1.24,13.21
2018-06-17,52.8,64.6,76.3,1.10,18.25
2018-06-18,53.3,70.2,87.2,0.92,31.97
2018-06-19,52.3,67.6,82.8,0.58,22.90
2018-06-20,51.5,70.1,88.6,0.58,34.72
2018-06-21,56.3,69.0,81.7,0.97,18.28
2018-06-22,56.9,66.5,76.0,1.47,15.68
2018-06-23,56.8,67.1,77.5,1.98,17.90
2018-06-24,53.4,65.4,77.3,1.17,18.36
2018-06-25,54.2,71.7,89.2,1.35,32.54
2018-06-26,45.3,58.4,71.4,0.46,13.61
2018-06-27,44.9,60.5,76.1,0.46,20.16
2018-06-28,46.2,61.9,77.5,0.55,19.92
2018-06-29,45.6,60.9,76.1,0.50,19.26
2018-06-30,47.0,64.2,81.4,0.57,23.69
2018-07-01,50.2,66.7,83.3,0.54,24.18
2018-07-02,50.0,65.0,80.0,1.33,21.78
2018-07-03,44.0,58.1,72.2,0.79,17.28
2018-07-04,43.5,60.2,76.9,0.62,20.51
2018-07-05,52.5,63.4,74.3,0.57,14.28
2018-07-06,50.4,68.1,85.7,0.23,28.34
2018-07-07,49.7,64.1,78.5,0.67,19.08
2018-07-08,51.1,66.0,80.9,0.79,24.39
2018-07-09,50.1,65.8,81.6,0.56,20.76
2018-07-10,52.5,61.7,71.0,1.04,11.34
2018-07-11,55.5,67.5,79.4,1.44,20.45
2018-07-12,56.1,71.9,87.8,1.43,31.36
2018-07-13,59.4,78.0,96.6,2.35,46.36
2018-07-14,54.5,74.0,93.5,1.37,38.98
2018-07-15,52.9,72.6,92.3,1.30,39.77
2018-07-16,56.2,76.3,96.5,1.31,44.87
2018-07-17,56.8,75.8,94.8,1.54,40.09
2018-07-18,53.8,70.7,87.6,0.75,27.51
2018-07-19,53.0,70.0,87.0,0.67,27.22
2018-07-20,50.9,63.2,75.5,1.61,17.74
2018-07-21,48.2,63.7,79.3,1.58,23.30
2018-07-22,47.0,64.5,82.1,1.37,26.85
2018-07-23,52.0,71.5,91.0,1.37,38.76
2018-07-24,52.9,72.8,92.7,0.99,38.39
2018-07-25,54.4,74.8,95.3,1.18,46.22
2018-07-26,54.2,75.2,96.1,1.99,46.72
2018-07-27,54.3,75.2,96.1,1.56,45.46
2018-07-28,52.0,71.0,90.1,0.95,35.83
2018-07-29,51.2,71.1,90.9,0.69,35.52
2018-07-30,55.6,76.0,96.4,1.18,44.99
2018-07-31,56.9,72.0,87.2,2.01,25.55
2018-08-01,52.4,70.6,88.9,0.88,30.08
2018-08-02,51.4,69.0,86.6,0.75,27.39
2018-08-03,53.5,63.5,73.4,1.36,12.64
2018-08-04,52.1,64.6,77.1,0.77,16.81
2018-08-05,51.3,68.3,85.4,0.68,27.80
2018-08-06,51.5,70.0,88.5,0.80,32.35
2018-08-07,55.0,71.7,88.4,0.90,28.96
2018-08-08,56.0,74.8,93.6,0.94,36.82
2018-08-09,55.4,73.4,91.4,1.32,33.62
2018-08-10,55.0,75.1,95.3,1.05,42.03
2018-08-11,57.7,72.7,87.8,1.55,27.26
2018-08-12,52.3,64.8,77.3,0.63,17.26
2018-08-13,50.7,65.5,80.4,0.52,21.99
2018-08-14,53.7,70.8,88.0,0.96,30.48
2018-08-15,54.4,73.3,92.3,0.83,39.00
2018-08-16,56.0,70.3,84.6,0.85,21.30
2018-08-17,49.0,65.6,82.3,0.63,20.80
2018-08-18,47.2,64.8,82.3,0.65,29.58
2018-08-19,48.6,67.6,86.7,1.03,31.01
2018-08-20,51.3,68.4,85.4,0.89,25.73
2018-08-21,52.1,66.6,81.2,0.75,20.61
2018-08-22,54.6,73.5,92.5,1.30,39.79
2018-08-23,51.5,70.7,90.0,0.95,33.83
2018-08-24,52.1,59.8,67.5,1.15,8.36
2018-08-25,45.7,59.1,72.4,0.77,16.65
2018-08-26,44.8,60.3,75.8,0.56,18.58
2018-08-27,53.8,62.4,70.9,1.20,12.78
2018-08-28,56.7,66.9,77.1,1.79,19.51
2018-08-29,49.6,68.7,87.7,1.65,36.94
2018-08-30,48.3,65.0,81.8,1.03,22.59
2018-08-31,49.7,60.8,71.9,0.57,11.87
2018-09-01,49.2,63.5,77.8,0.75,19.04
2018-09-02,50.0,62.7,75.3,1.58,18.57
2018-09-03,49.4,66.0,82.5,1.25,28.18
2018-09-04,48.7,64.3,79.9,1.42,22.79
2018-09-05,46.5,64.0,81.5,1.60,26.45
2018-09-06,48.1,68.3,88.6,0.88,35.49
2018-09-07,47.6,65.9,84.1,0.86,25.59
2018-09-08,45.7,64.3,82.9,0.56,25.29
2018-09-09,48.4,62.7,76.9,0.62,18.94
2018-09-10,45.9,62.9,79.8,0.43,23.13
2018-09-11,51.8,62.9,74.0,0.97,16.65
2018-09-12,50.6,59.7,68.7,0.49,12.50
2018-09-13,47.2,56.0,64.7,0.26,7.16
2018-09-14,46.5,56.9,67.4,0.28,9.65
2018-09-15,44.9,57.2,69.6,0.18,12.39
2018-09-16,44.3,55.3,66.3,0.22,10.70
2018-09-17,46.0,55.8,65.7,0.37,8.30
2018-09-18,43.7,55.8,67.8,0.30,12.72
2018-09-19,41.6,56.4,71.2,0.29,16.41
2018-09-20,41.1,56.5,72.0,0.24,16.91
2018-09-21,44.5,58.7,73.0,0.30,17.97
2018-09-22,45.0,60.6,76.1,0.42,17.67
2018-09-23,43.0,55.4,67.9,0.24,10.18
2018-09-24,40.7,55.0,69.2,0.16,16.28
2018-09-25,41.0,56.6,72.1,0.50,17.59
2018-09-26,47.6,64.0,80.5,1.74,27.26
2018-09-27,46.3,65.3,84.2,1.28,31.94
2018-09-28,46.4,66.1,85.9,0.80,30.76
2018-09-29,45.8,66.5,87.2,0.46,31.44
2018-09-30,53.2,60.0,66.9,0.84,9.08
2018-10-01,53.5,62.5,71.6,0.68,13.31
2018-10-02,55.9,64.6,73.3,1.60,14.64
2018-10-03,39.4,55.2,71.1,0.31,13.84
2018-10-04,37.7,53.0,68.2,0.20,15.36
2018-10-05,40.7,53.3,65.9,0.64,13.75
2018-10-06,43.1,50.3,57.4,0.46,2.59
2018-10-07,43.3,53.6,63.9,0.20,7.61
2018-10-08,43.9,50.8,57.8,0.16,4.41
2018-10-09,53.5,60.0,66.4,0.39,5.14
2018-10-10,41.8,53.8,65.9,0.21,10.83
2018-10-11,41.2,53.6,66.1,0.20,10.72
2018-10-12,39.0,54.3,69.6,0.31,17.08
2018-10-13,37.5,55.3,73.1,0.25,20.23
2018-10-14,43.3,57.9,72.6,0.42,19.30
2018-10-15,38.1,55.9,73.7,2.41,24.67
2018-10-16,34.8,55.2,75.6,0.62,24.13
2018-10-17,35.0,57.9,80.7,0.25,28.21
2018-10-18,37.5,57.7,77.9,0.35,25.49
2018-10-19,35.5,56.2,76.8,0.10,21.82
2018-10-20,36.0,55.3,74.6,0.14,18.72
2018-10-21,38.2,55.7,73.2,0.16,16.85
2018-10-22,36.3,53.6,70.9,0.09,14.00
2018-10-23,37.2,53.7,70.3,0.08,12.57
2018-10-24,39.9,49.6,59.3,0.08,5.69
2018-10-25,44.1,53.7,63.3,0.09,7.19
2018-10-26,46.3,53.3,60.4,0.42,5.98
2018-10-27,52.8,58.1,63.4,0.32,4.13
2018-10-28,50.2,57.9,65.7,0.17,5.21
2018-10-29,48.1,55.5,62.9,0.43,8.15
2018-10-30,40.5,50.4,60.2,0.02,6.09
2018-10-31,41.0,47.6,54.2,0.08,2.69
2018-11-01,50.4,54.3,58.1,0.48,1.47
2018-11-02,56.0,60.1,64.1,0.86,4.04
2018-11-03,45.4,55.2,64.9,0.23,9.62
2018-11-04,44.3,51.1,58.0,0.14,3.97
2018-11-05,46.5,54.8,63.0,0.33,9.21
2018-11-06,45.3,52.1,58.9,0.35,5.91
2018-11-07,36.3,47.2,58.1,0.08,7.78
2018-11-08,35.3,44.3,53.2,0.12,5.00
2018-11-09,29.4,40.4,51.5,0.05,4.45
2018-11-10,28.7,38.3,47.9,0.08,2.88
2018-11-11,29.9,40.1,50.3,0.06,4.24
2018-11-12,29.1,43.1,57.1,0.10,9.11
2018-11-13,30.2,44.2,58.3,0.23,10.00
2018-11-14,30.8,40.3,49.8,0.15,4.86
2018-11-15,35.1,44.5,54.0,0.14,4.35
2018-11-16,37.3,46.0,54.8,0.07,3.77
2018-11-17,39.2,48.1,56.9,0.10,3.62
2018-11-18,33.8,47.4,61.0,0.58,12.07
2018-11-19,29.6,42.9,56.2,0.09,8.09
2018-11-20,27.8,41.0,54.1,0.05,6.96
2018-11-21,27.6,38.3,49.0,0.03,3.89
2018-11-22,39.8,45.7,51.6,0.19,2.26
2018-11-23,45.9,48.5,51.1,0.52,2.30
2018-11-24,36.5,44.3,52.2,0.07,2.50
2018-11-25,34.6,41.0,47.4,0.04,1.26
2018-11-26,39.2,42.5,45.8,0.05,1.64
2018-11-27,42.2,50.4,58.5,0.16,5.84
2018-11-28,46.1,53.0,59.9,0.25,4.58
2018-11-29,44.1,49.5,54.8,0.10,3.16
2018-11-30,42.1,45.9,49.7,0.36,2.37
2018-12-01,40.2,44.7,49.2,0.25,2.07
2018-12-02,37.1,41.1,45.0,0.15,1.77
2018-12-03,32.1,40.3,48.5,0.09,3.48
2018-12-04,30.0,37.1,44.1,0.05,2.44
2018-12-05,29.2,39.2,49.2,0.39,6.12
2018-12-06,27.4,37.0,46.6,0.34,5.08
2018-12-07,25.3,34.9,44.5,0.32,4.76
2018-12-08,25.5,32.1,38.8,0.17,2.52
2018-12-09,35.5,38.5,41.4,0.08,0.81
2018-12-10,35.3,38.1,41.0,0.03,1.06
2018-12-11,35.2,42.8,50.4,0.00,1.49
2018-12-12,41.1,46.0,50.9,0.34,2.08
2018-12-13,36.4,44.1,51.7,0.13,3.48
2018-12-14,32.6,42.8,53.0,0.04,5.19
2018-12-15,32.0,42.9,53.8,0.09,4.88
2018-12-16,36.3,41.2,46.2,0.05,2.11
2018-12-17,40.9,46.0,51.2,0.08,1.62
2018-12-18,41.6,46.6,51.6,0.12,2.96
2018-12-19,43.4,50.3,57.2,0.23,4.70
2018-12-20,42.7,48.0,53.2,0.10,2.86
2018-12-21,33.3,43.7,54.2,0.08,3.46
2018-12-22,29.5,38.2,46.9,0.03,2.44
2018-12-23,29.6,38.1,46.6,0.03,2.06
2018-12-24,45.2,48.2,51.2,0.18,1.56
2018-12-25,40.3,44.5,48.6,0.19,2.10
2018-12-26,35.4,41.0,46.6,0.11,2.83
2018-12-27,36.0,40.9,45.9,0.17,1.36
2018-12-28,35.9,42.4,49.0,0.09,3.26
2018-12-29,40.2,43.4,46.7,0.38,2.23
2018-12-30,44.5,48.1,51.7,0.44,2.92
2018-12-31,31.9,40.8,49.7,0.07,4.51
2019-01-01,28.0,36.4,44.7,0.00,3.21
2019-01-02,26.9,33.1,39.2,0.05,1.52
2019-01-03,26.7,36.5,46.3,0.05,2.77
2019-01-04,43.0,48.5,54.0,0.63,5.48
2019-01-05,36.1,42.6,49.0,0.04,1.19
2019-01-06,39.2,43.8,48.4,0.08,2.18
2019-01-07,34.3,39.2,44.2,0.13,1.67
2019-01-08,32.0,38.4,44.8,0.06,2.04
2019-01-09,39.4,42.7,46.1,0.16,1.45
2019-01-10,37.8,45.7,53.6,0.09,2.80
2019-01-11,40.7,49.0,57.3,0.10,5.06
2019-01-12,32.9,42.3,51.6,0.01,4.37
2019-01-13,30.4,40.4,50.5,0.04,4.36
2019-01-14,28.5,39.5,50.5,0.04,5.41
2019-01-15,26.3,37.3,48.2,0.08,5.29
2019-01-16,30.1,36.6,43.2,0.39,3.59
2019-01-17,32.0,36.8,41.5,0.09,1.85
2019-01-18,38.1,44.4,50.8,0.10,2.86
2019-01-19,39.1,46.0,52.8,0.21,1.70
2019-01-20,44.4,49.0,53.6,0.17,3.46
2019-01-21,35.7,40.5,45.3,0.03,1.24
2019-01-22,34.5,41.3,48.1,0.03,2.82
2019-01-23,39.1,43.9,48.7,0.44,1.68
2019-01-24,38.4,46.1,53.8,0.12,3.65
2019-01-25,34.1,42.6,51.1,0.00,4.00
2019-01-26,32.2,41.2,50.3,0.06,3.67
2019-01-27,31.2,36.0,40.7,0.01,0.46
2019-01-28,36.4,38.5,40.7,0.00,0.28
2019-01-29,32.4,42.6,52.8,0.09,6.86
2019-01-30,29.0,40.7,52.4,0.08,6.53
2019-01-31,28.1,39.7,51.4,0.04,5.32
2019-02-01,28.8,39.1,49.5,0.05,3.13
2019-02-02,41.1,46.3,51.6,0.07,1.44
2019-02-03,39.9,45.3,50.6,0.04,1.84
2019-02-04,34.3,39.8,45.4,0.22,2.61
2019-02-05,29.6,35.1,40.7,0.13,2.56
2019-02-06,29.2,33.6,38.0,0.11,1.07
2019-02-07,25.3,31.4,37.6,0.10,2.06
2019-02-08,25.6,31.3,37.1,0.14,2.08
2019-02-09,29.8,35.3,40.7,0.16,1.81
2019-02-10,29.0,34.5,40.1,0.14,2.32
2019-02-11,27.9,33.4,38.8,0.39,2.04
2019-02-12,38.4,41.9,45.4,0.24,1.95
2019-02-13,38.8,42.2,45.5,0.15,1.96
2019-02-14,39.0,42.0,44.9,0.13,1.32
2019-02-15,37.5,41.4,45.4,0.25,2.31
2019-02-16,37.6,42.2,46.7,0.41,3.58
2019-02-17,32.1,38.8,45.4,0.11,2.84
2019-02-18,29.2,35.9,42.6,0.09,2.51
2019-02-19,28.6,36.5,44.4,0.05,3.09
2019-02-20,35.0,39.3,43.6,0.22,1.75
2019-02-21,31.6,38.2,44.9,0.05,2.22
2019-02-22,29.0,37.8,46.6,0.15,5.70
2019-02-23,28.3,37.0,45.6,0.12,3.81
2019-02-24,34.9,39.9,45.0,0.03,1.25
2019-02-25,32.5,36.7,40.9,0.08,0.87
2019-02-26,27.4,31.6,35.9,0.04,1.30
2019-02-27,27.5,33.3,39.2,0.09,2.97
2019-02-28,27.9,32.3,36.6,0.09,1.44
2019-03-01,28.6,34.7,40.7,0.05,1.56
2019-03-02,30.7,41.1,51.5,0.10,5.85
2019-03-03,29.3,39.8,50.2,0.25,6.00
2019-03-04,25.8,35.9,45.9,1.68,6.53
2019-03-05,24.3,33.9,43.5,1.27,5.43
